subject,session,device,kind,n_samples,missing_frac,interior_missing_frac,n_runs,n_interior_runs,packet_level_agreement,median_run_s,p95_run_s,max_run_s
S1,S1-ADL4,Accelerometer RUA^,Accelerometer,32955,0.014504627522379002,0.006038537399484145,11,10,1.0,0.6666666666666666,0.6849999999999999,0.7
S1,S1-ADL4,Accelerometer LUA_,Accelerometer,32955,0.01520254893035958,0.006736458807464724,12,11,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL4,Accelerometer LWR,Accelerometer,32955,0.01456531634046427,0.006129570626612047,11,10,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL4,Accelerometer RH,Accelerometer,32955,0.9999696555909574,0.0,2,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit BACK,InertialMeasurementUnit,32955,0.007768168714914277,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit RUA,InertialMeasurementUnit,32955,0.007768168714914277,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit RLA,InertialMeasurementUnit,32955,0.007768168714914277,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit LUA,InertialMeasurementUnit,32955,0.007768168714914277,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit LLA,InertialMeasurementUnit,32955,0.007768168714914277,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,32955,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL4,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,32955,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,Accelerometer RKN^,Accelerometer,30127,0.0728582334782753,0.06924021641716732,103,102,1.0,0.6666666666666666,0.798333333333333,1.2333333333333334
S1,S1-ADL5,Accelerometer HIP,Accelerometer,30127,0.00487934410993461,0.001327712682975404,3,2,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S1,S1-ADL5,Accelerometer LUA^,Accelerometer,30127,0.010223387658910612,0.006771334683174561,11,10,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL5,Accelerometer RUA_,Accelerometer,30127,0.013277126829754042,0.00989145948816676,16,15,1.0,0.6666666666666666,0.6766666666666665,0.7
S1,S1-ADL5,Accelerometer LH,Accelerometer,30127,0.9809141301822286,0.0020579546586118763,5,3,1.0,0.7,0.7,0.7
S1,S1-ADL5,Accelerometer BACK,Accelerometer,30127,0.0034520529757360507,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,Accelerometer RKN_,Accelerometer,30127,0.025060576891160754,0.021641716732499088,34,33,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S1,S1-ADL5,Accelerometer RWR,Accelerometer,30127,0.034055830318319116,0.030670162976731835,46,45,1.0,0.6666666666666666,0.7666666666666667,0.7666666666666667
S1,S1-ADL5,Accelerometer RUA^,Accelerometer,30127,0.010289773293059383,0.006937298768546487,11,10,1.0,0.6666666666666666,0.8283333333333331,0.9333333333333333
S1,S1-ADL5,Accelerometer LUA_,Accelerometer,30127,0.0356490855378896,0.03232980383045109,10,9,1.0,0.7,16.49999999999999,27.033333333333335
S1,S1-ADL5,Accelerometer LWR,Accelerometer,30127,0.010621701463803233,0.007302419756364723,12,11,1.0,0.6666666666666666,0.7,0.7
S1,S1-ADL5,Accelerometer RH,Accelerometer,30127,0.9999668071829256,0.0,2,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit BACK,InertialMeasurementUnit,30127,0.002622232548876423,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit RUA,InertialMeasurementUnit,30127,0.002622232548876423,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit RLA,InertialMeasurementUnit,30127,0.002622232548876423,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit LUA,InertialMeasurementUnit,30127,0.002622232548876423,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit LLA,InertialMeasurementUnit,30127,0.002622232548876423,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,30127,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-ADL5,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,30127,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S1,S1-Drill,Accelerometer RKN^,Accelerometer,54966,0.03869664883746316,0.03393006585889459,82,81,1.0,0.6666666666666666,1.2666666666666666,2.0
S1,S1-Drill,Accelerometer HIP,Accelerometer,54966,0.004293563293672452,0.001819306480369683,6,5,1.0,0.6666666666666666,0.6933333333333334,0.7
S1,S1-Drill,Accelerometer LUA^,Accelerometer,54966,0.005003092821016629,0.0025470290725175563,8,7,1.0,0.6666666666666666,0.69,0.7
S1,S1-Drill,Accelerometer RUA_,Accelerometer,54966,0.01360841247316523,0.010133537095659135,29,28,1.0,0.6666666666666666,0.6883333333333332,0.7
S1,S1-Drill,Accelerometer LH,Accelerometer,54966,0.007877597060000728,0.0054033402466979585,14,13,1.0,0.7,1.0199999999999991,1.4
S1,S1-Drill,Accelerometer BACK,Accelerometer,54966,0.002474256813302769,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,Accelerometer RKN_,Accelerometer,54966,0.019084524979077977,0.01659207510097151,47,46,1.0,0.6666666666666666,0.6916666666666667,0.7333333333333333
S1,S1-Drill,Accelerometer RWR,Accelerometer,54966,0.9778772331987047,0.9720736455263254,4,3,1.0,0.7333333333333333,1601.743333333333,1779.6333333333334
S1,S1-Drill,Accelerometer RUA^,Accelerometer,54966,0.007422770439908307,0.003966088127205909,12,11,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S1,S1-Drill,Accelerometer LUA_,Accelerometer,54966,0.006513117199723466,0.004038860386420697,12,11,1.0,0.6666666666666666,0.7,0.7
S1,S1-Drill,Accelerometer LWR,Accelerometer,54966,0.005730815413164502,0.0032747516646654297,10,9,1.0,0.6666666666666666,0.7,0.7
S1,S1-Drill,Accelerometer RH,Accelerometer,54966,0.9999818069351963,0.0,2,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit BACK,InertialMeasurementUnit,54966,0.002037623258014045,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit RUA,InertialMeasurementUnit,54966,0.002037623258014045,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit RLA,InertialMeasurementUnit,54966,0.002037623258014045,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit LUA,InertialMeasurementUnit,54966,0.002037623258014045,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit LLA,InertialMeasurementUnit,54966,0.002037623258014045,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,54966,0.0009096532401848415,0.0,1,0,1.0,0.0,0.0,0.0
S1,S1-Drill,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,54966,0.0009096532401848415,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,Accelerometer RKN^,Accelerometer,42797,0.15926349977802182,0.0010514755707175737,3,2,1.0,0.75,0.795,0.8
S2,S2-ADL1,Accelerometer HIP,Accelerometer,42797,0.1592401336542281,0.0004673224758744772,2,1,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL1,Accelerometer LUA^,Accelerometer,42797,0.29205318129775454,0.14973012127018248,4,3,1.0,41.63333333333333,158.33333333333334,171.3
S2,S2-ADL1,Accelerometer RUA_,Accelerometer,42797,0.15949716101595907,0.0009346449517489544,3,2,1.0,0.6666666666666666,0.6966666666666667,0.7
S2,S2-ADL1,Accelerometer LH,Accelerometer,42797,0.17711521835642685,0.019206953758441014,32,31,1.0,0.7,1.45,1.6333333333333333
S2,S2-ADL1,Accelerometer BACK,Accelerometer,42797,0.1595438932635465,0.0009346449517489544,3,2,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL1,Accelerometer RKN_,Accelerometer,42797,0.1608056639484076,0.002687104236278244,5,4,1.0,0.95,1.2616666666666667,1.2666666666666666
S2,S2-ADL1,Accelerometer RWR,Accelerometer,42797,0.21207093955183776,0.05119517723204898,4,3,1.0,2.8,62.88999999999999,69.56666666666666
S2,S2-ADL1,Accelerometer RUA^,Accelerometer,42797,0.16038507372012056,0.0014253335514171554,4,3,1.0,0.6666666666666666,0.6966666666666667,0.7
S2,S2-ADL1,Accelerometer LUA_,Accelerometer,42797,0.16073556557702642,0.0025469074935159006,6,5,1.0,0.6666666666666666,0.8866666666666666,0.9333333333333333
S2,S2-ADL1,Accelerometer LWR,Accelerometer,42797,0.16634343528752016,0.00799121433745356,15,14,1.0,0.7,1.3233333333333335,1.3666666666666667
S2,S2-ADL1,Accelerometer RH,Accelerometer,42797,0.9999766338762063,0.0,2,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit BACK,InertialMeasurementUnit,42797,0.15484730238100802,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit RUA,InertialMeasurementUnit,42797,0.15484730238100802,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit RLA,InertialMeasurementUnit,42797,0.15484730238100802,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit LUA,InertialMeasurementUnit,42797,0.15484730238100802,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit LLA,InertialMeasurementUnit,42797,0.15484730238100802,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,42797,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S2,S2-ADL1,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,42797,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,Accelerometer RKN^,Accelerometer,30182,0.014280034457623748,0.007057186402491551,5,4,1.0,1.3166666666666667,3.189999999999999,3.5
S2,S2-ADL2,Accelerometer HIP,Accelerometer,30182,0.008382479623616726,0.001325293221125174,3,2,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL2,Accelerometer LUA^,Accelerometer,30182,0.048936452190047046,0.041945530448611754,3,2,1.0,21.1,39.49,41.53333333333333
S2,S2-ADL2,Accelerometer RUA_,Accelerometer,30182,0.014843284076601949,0.008018023987807302,13,12,1.0,0.6666666666666666,0.7,0.7
S2,S2-ADL2,Accelerometer LH,Accelerometer,30182,0.058743622026373336,0.051752700284938044,32,31,1.0,0.7666666666666667,1.65,27.433333333333334
S2,S2-ADL2,Accelerometer BACK,Accelerometer,30182,0.008316214962560466,0.0013584255516533032,3,2,1.0,0.6833333333333333,0.6983333333333334,0.7
S2,S2-ADL2,Accelerometer RKN_,Accelerometer,30182,0.010602345769001391,0.003611424027566099,3,2,1.0,1.8166666666666667,1.8316666666666668,1.8333333333333333
S2,S2-ADL2,Accelerometer RWR,Accelerometer,30182,0.013484858524948644,0.006560201444569611,11,10,1.0,0.6666666666666666,0.6849999999999999,0.7
S2,S2-ADL2,Accelerometer RUA^,Accelerometer,30182,0.014412563779736267,0.007487906699357233,12,11,1.0,0.6666666666666666,0.7333333333333333,0.7333333333333333
S2,S2-ADL2,Accelerometer LUA_,Accelerometer,30182,0.052249685242859986,0.04539129282353721,12,11,1.0,0.6666666666666666,19.833333333333332,38.96666666666667
S2,S2-ADL2,Accelerometer LWR,Accelerometer,30182,0.014975813398714465,0.00815055330991982,13,12,1.0,0.6666666666666666,0.73,0.7666666666666667
S2,S2-ADL2,Accelerometer RH,Accelerometer,30182,0.04780995295209065,0.030117288450069578,20,18,1.0,0.6666666666666666,3.5133333333333097,17.566666666666666
S2,S2-ADL2,InertialMeasurementUnit BACK,InertialMeasurementUnit,30182,0.005698760850838248,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,InertialMeasurementUnit RUA,InertialMeasurementUnit,30182,0.005698760850838248,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,InertialMeasurementUnit RLA,InertialMeasurementUnit,30182,0.005698760850838248,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,InertialMeasurementUnit LUA,InertialMeasurementUnit,30182,0.005698760850838248,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,InertialMeasurementUnit LLA,InertialMeasurementUnit,30182,0.005698760850838248,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,30182,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S2,S2-ADL2,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,30182,0.0,0.0,0,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,Accelerometer RKN^,Accelerometer,34232,0.014021967749474177,0.006105398457583547,7,6,1.0,0.9666666666666667,2.158333333333333,2.466666666666667
S2,S2-ADL3,Accelerometer HIP,Accelerometer,34232,0.010983874737088105,0.002892030848329049,6,5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL3,Accelerometer LUA^,Accelerometer,34232,0.013350081794811872,0.0052874503388642205,10,9,1.0,0.6666666666666666,0.7,0.7
S2,S2-ADL3,Accelerometer RUA_,Accelerometer,34232,0.07641972423463426,0.06862000467398925,7,6,1.0,2.85,50.483333333333334,65.63333333333334
S2,S2-ADL3,Accelerometer LH,Accelerometer,34232,0.03274713718158448,0.02468450572563683,38,37,1.0,0.6666666666666666,1.0999999999999985,1.8
S2,S2-ADL3,Accelerometer BACK,Accelerometer,34232,0.009172703902781024,0.0011684973124561813,3,2,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL3,Accelerometer RKN_,Accelerometer,34232,0.013700630988548726,0.005842486562280907,7,6,1.0,1.1666666666666667,1.5,1.6
S2,S2-ADL3,Accelerometer RWR,Accelerometer,34232,0.015424164524421594,0.007478382799719561,14,13,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL3,Accelerometer RUA^,Accelerometer,34232,0.013350081794811872,0.005404300070109839,10,9,1.0,0.7,0.7,0.7
S2,S2-ADL3,Accelerometer LUA_,Accelerometer,34232,0.014956765599439122,0.007069408740359897,13,12,1.0,0.6666666666666666,0.7,0.7
S2,S2-ADL3,Accelerometer LWR,Accelerometer,34232,0.01507361533068474,0.007186258471605515,13,12,1.0,0.6666666666666666,0.7333333333333333,0.7333333333333333
S2,S2-ADL3,Accelerometer RH,Accelerometer,34232,0.049339799018462256,0.033419023136246784,39,37,1.0,0.7666666666666667,1.9733333333333325,2.566666666666667
S2,S2-ADL3,InertialMeasurementUnit BACK,InertialMeasurementUnit,34232,0.007244683337228324,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,InertialMeasurementUnit RUA,InertialMeasurementUnit,34232,0.007244683337228324,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,InertialMeasurementUnit RLA,InertialMeasurementUnit,34232,0.007244683337228324,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,InertialMeasurementUnit LUA,InertialMeasurementUnit,34232,0.007244683337228324,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,InertialMeasurementUnit LLA,InertialMeasurementUnit,34232,0.007244683337228324,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,34232,0.00502453844356158,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL3,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,34232,0.00502453844356158,0.0,1,0,1.0,0.0,0.0,0.0
S2,S2-ADL4,Accelerometer RKN^,Accelerometer,32748,0.011848051789422255,0.0047941859044827164,5,4,1.0,1.2666666666666666,1.9666666666666663,2.066666666666667
S2,S2-ADL4,Accelerometer HIP,Accelerometer,32748,0.008458531818737023,0.0014046659337974838,3,2,1.0,0.7666666666666667,0.8866666666666667,0.9
S2,S2-ADL4,Accelerometer LUA^,Accelerometer,32748,0.04357518016367412,0.036521314278734576,13,12,1.0,0.6666666666666666,15.069999999999977,32.63333333333333
S2,S2-ADL4,Accelerometer RUA_,Accelerometer,32748,0.012977891779650665,0.006046170758519604,11,10,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL4,Accelerometer LH,Accelerometer,32748,0.026963478685721267,0.019970685232685966,29,28,1.0,0.7,1.163333333333333,1.6333333333333333
S2,S2-ADL4,Accelerometer BACK,Accelerometer,32748,0.008275314523024307,0.001282521069989007,3,2,1.0,0.7,0.76,0.7666666666666667
S2,S2-ADL4,Accelerometer RKN_,Accelerometer,32748,0.026383290582631,0.020001221448638085,34,33,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL4,Accelerometer RWR,Accelerometer,32748,0.015481861487724442,0.008519604250641261,15,14,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
S2,S2-ADL4,Accelerometer RUA^,Accelerometer,32748,0.01322218150726762,0.0062904604861365575,11,10,1.0,0.6833333333333333,0.7183333333333333,0.7333333333333333
