subject,session,device,kind,run_samples,run_s,boundary
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,28,0.9333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,22,0.7333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,22,0.7333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,22,0.7333333333333333,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL1,Accelerometer RWR,Accelerometer,443,14.766666666666667,True
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer RUA^,Accelerometer,444,14.8,True
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LUA_,Accelerometer,444,14.8,True
S1,S1-ADL1,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,21,0.7,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL1,Accelerometer LWR,Accelerometer,445,14.833333333333334,True
S1,S1-ADL1,Accelerometer RH,Accelerometer,50671,1689.0333333333333,True
S1,S1-ADL1,Accelerometer RH,Accelerometer,444,14.8,True
S1,S1-ADL1,InertialMeasurementUnit BACK,InertialMeasurementUnit,414,13.8,True
S1,S1-ADL1,InertialMeasurementUnit RUA,InertialMeasurementUnit,414,13.8,True
S1,S1-ADL1,InertialMeasurementUnit RLA,InertialMeasurementUnit,414,13.8,True
S1,S1-ADL1,InertialMeasurementUnit LUA,InertialMeasurementUnit,414,13.8,True
S1,S1-ADL1,InertialMeasurementUnit LLA,InertialMeasurementUnit,414,13.8,True
S1,S1-ADL1,InertialMeasurementUnit L-SHOE,InertialMeasurementUnit,28,0.9333333333333333,True
S1,S1-ADL1,InertialMeasurementUnit R-SHOE,InertialMeasurementUnit,28,0.9333333333333333,True
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,47,1.5666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,24,0.8,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,22,0.7333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,56,1.8666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,225,7.5,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,32,1.0666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,36,1.2,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,23,0.7666666666666667,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,24,0.8,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,33,1.1,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,24,0.8,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,31,1.0333333333333334,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RKN^,Accelerometer,386,12.866666666666667,True
S1,S1-ADL2,Accelerometer HIP,Accelerometer,27,0.9,False
S1,S1-ADL2,Accelerometer HIP,Accelerometer,40,1.3333333333333333,False
S1,S1-ADL2,Accelerometer HIP,Accelerometer,22,0.7333333333333333,False
S1,S1-ADL2,Accelerometer HIP,Accelerometer,58,1.9333333333333333,False
S1,S1-ADL2,Accelerometer HIP,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer HIP,Accelerometer,384,12.8,True
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,174,5.8,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA^,Accelerometer,388,12.933333333333334,True
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,175,5.833333333333333,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RUA_,Accelerometer,386,12.866666666666667,True
S1,S1-ADL2,Accelerometer LH,Accelerometer,31339,1044.6333333333334,True
S1,S1-ADL2,Accelerometer LH,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LH,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LH,Accelerometer,387,12.9,True
S1,S1-ADL2,Accelerometer BACK,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer BACK,Accelerometer,28,0.9333333333333333,False
S1,S1-ADL2,Accelerometer BACK,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer BACK,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer BACK,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer BACK,Accelerometer,387,12.9,True
S1,S1-ADL2,Accelerometer RKN_,Accelerometer,41,1.3666666666666667,False
S1,S1-ADL2,Accelerometer RKN_,Accelerometer,70,2.3333333333333335,False
S1,S1-ADL2,Accelerometer RKN_,Accelerometer,29,0.9666666666666667,False
S1,S1-ADL2,Accelerometer RKN_,Accelerometer,377,12.566666666666666,True
S1,S1-ADL2,Accelerometer RWR,Accelerometer,30,1.0,False
S1,S1-ADL2,Accelerometer RWR,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RWR,Accelerometer,643,21.433333333333334,True
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,26,0.8666666666666667,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,156,5.2,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer RUA^,Accelerometer,357,11.9,True
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,47,1.5666666666666667,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,87,2.9,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LUA_,Accelerometer,357,11.9,True
S1,S1-ADL2,Accelerometer LWR,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,19,0.6333333333333333,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,181,6.033333333333333,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,20,0.6666666666666666,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,21,0.7,False
S1,S1-ADL2,Accelerometer LWR,Accelerometer,357,11.9,True
S1,S1-ADL2,Accelerometer RH,Accelerometer,31866,1062.2,True
S1,S1-ADL2,Accelerometer RH,Accelerometer,357,11.9,True
S1,S1-ADL2,InertialMeasurementUnit BACK,InertialMeasurementUnit,332,11.066666666666666,True
S1,S1-ADL2,InertialMeasurementUnit RUA,InertialMeasurementUnit,332,11.066666666666666,True
