dataset,series,run_s,ccdf
pamap2,empirical,0.01,0.996712830737727
pamap2,empirical,0.01,0.996658942717034
pamap2,empirical,0.01,0.996605054696341
pamap2,empirical,0.01,0.996551166675648
pamap2,empirical,0.01,0.996497278654955
pamap2,empirical,0.01,0.996443390634262
pamap2,empirical,0.01,0.996389502613569
pamap2,empirical,0.01,0.996335614592876
pamap2,empirical,0.01,0.9962817265721831
pamap2,empirical,0.01,0.99622783855149
pamap2,empirical,0.01,0.996173950530797
pamap2,empirical,0.01,0.996120062510104
pamap2,empirical,0.01,0.996066174489411
pamap2,empirical,0.01,0.996012286468718
pamap2,empirical,0.01,0.995958398448025
pamap2,empirical,0.01,0.995904510427332
pamap2,empirical,0.01,0.995850622406639
pamap2,empirical,0.01,0.995796734385946
pamap2,empirical,0.01,0.995742846365253
pamap2,empirical,0.01,0.9956889583445601
pamap2,empirical,0.01,0.995635070323867
pamap2,empirical,0.01,0.995581182303174
pamap2,empirical,0.01,0.995527294282481
pamap2,empirical,0.01,0.995473406261788
pamap2,empirical,0.01,0.995419518241095
pamap2,empirical,0.01,0.995365630220402
pamap2,empirical,0.01,0.995311742199709
pamap2,empirical,0.01,0.995257854179016
pamap2,empirical,0.01,0.995203966158323
pamap2,empirical,0.01,0.99515007813763
pamap2,empirical,0.01,0.995096190116937
pamap2,empirical,0.01,0.995042302096244
pamap2,empirical,0.01,0.994988414075551
pamap2,empirical,0.01,0.994934526054858
pamap2,empirical,0.01,0.994880638034165
pamap2,empirical,0.01,0.994826750013472
pamap2,empirical,0.01,0.994772861992779
pamap2,empirical,0.01,0.994718973972086
pamap2,empirical,0.01,0.994665085951393
pamap2,empirical,0.01,0.9946111979307
pamap2,empirical,0.01,0.994557309910007
pamap2,empirical,0.01,0.994503421889314
pamap2,empirical,0.01,0.994449533868621
pamap2,empirical,0.01,0.9943956458479281
pamap2,empirical,0.01,0.994341757827235
pamap2,empirical,0.01,0.994287869806542
pamap2,empirical,0.01,0.994233981785849
pamap2,empirical,0.01,0.994180093765156
pamap2,empirical,0.01,0.994126205744463
pamap2,empirical,0.01,0.99407231772377
pamap2,empirical,0.01,0.994018429703077
pamap2,empirical,0.01,0.993964541682384
pamap2,empirical,0.01,0.993910653661691
pamap2,empirical,0.01,0.993856765640998
pamap2,empirical,0.01,0.9938028776203051
pamap2,empirical,0.01,0.993748989599612
pamap2,empirical,0.01,0.993695101578919
pamap2,empirical,0.01,0.993641213558226
pamap2,empirical,0.01,0.993587325537533
pamap2,empirical,0.01,0.99353343751684
pamap2,empirical,0.01,0.993479549496147
pamap2,empirical,0.01,0.993425661475454
pamap2,empirical,0.01,0.993371773454761
pamap2,empirical,0.01,0.993317885434068
pamap2,empirical,0.01,0.993263997413375
pamap2,empirical,0.01,0.9932101093926821
pamap2,empirical,0.01,0.993156221371989
pamap2,empirical,0.01,0.993102333351296
pamap2,empirical,0.01,0.993048445330603
pamap2,empirical,0.01,0.99299455730991
pamap2,empirical,0.01,0.992940669289217
pamap2,empirical,0.01,0.992886781268524
pamap2,empirical,0.01,0.992832893247831
pamap2,empirical,0.01,0.992779005227138
pamap2,empirical,0.01,0.992725117206445
pamap2,empirical,0.01,0.992671229185752
pamap2,empirical,0.01,0.992617341165059
pamap2,empirical,0.01,0.992563453144366
pamap2,empirical,0.01,0.992509565123673
pamap2,empirical,0.01,0.99245567710298
pamap2,empirical,0.01,0.992401789082287
pamap2,empirical,0.01,0.992347901061594
pamap2,empirical,0.01,0.992294013040901
pamap2,empirical,0.01,0.992240125020208
pamap2,empirical,0.01,0.992186236999515
pamap2,empirical,0.01,0.992132348978822
pamap2,empirical,0.01,0.992078460958129
pamap2,empirical,0.01,0.992024572937436
pamap2,empirical,0.01,0.991970684916743
pamap2,empirical,0.01,0.9919167968960501
pamap2,empirical,0.01,0.991862908875357
pamap2,empirical,0.01,0.991809020854664
pamap2,empirical,0.01,0.991755132833971
pamap2,empirical,0.01,0.991701244813278
pamap2,empirical,0.01,0.991647356792585
pamap2,empirical,0.01,0.991593468771892
pamap2,empirical,0.01,0.991539580751199
pamap2,empirical,0.01,0.991485692730506
pamap2,empirical,0.01,0.991431804709813
pamap2,empirical,0.01,0.99137791668912
pamap2,empirical,0.01,0.9913240286684271
pamap2,empirical,0.01,0.991270140647734
pamap2,empirical,0.01,0.991216252627041
pamap2,empirical,0.01,0.991162364606348
pamap2,empirical,0.01,0.991108476585655
pamap2,empirical,0.01,0.991054588564962
pamap2,empirical,0.01,0.991000700544269
pamap2,empirical,0.01,0.990946812523576
pamap2,empirical,0.01,0.990892924502883
pamap2,empirical,0.01,0.99083903648219
pamap2,empirical,0.01,0.990785148461497
pamap2,empirical,0.01,0.9907312604408041
pamap2,empirical,0.01,0.990677372420111
pamap2,empirical,0.01,0.990623484399418
pamap2,empirical,0.01,0.990569596378725
pamap2,empirical,0.01,0.990515708358032
pamap2,empirical,0.01,0.990461820337339
pamap2,empirical,0.01,0.990407932316646
pamap2,empirical,0.01,0.990354044295953
pamap2,empirical,0.01,0.99030015627526
pamap2,empirical,0.01,0.990246268254567
pamap2,empirical,0.01,0.990192380233874
pamap2,empirical,0.01,0.9901384922131811
pamap2,empirical,0.01,0.990084604192488
pamap2,empirical,0.01,0.990030716171795
pamap2,empirical,0.01,0.989976828151102
pamap2,empirical,0.01,0.989922940130409
pamap2,empirical,0.01,0.989869052109716
pamap2,empirical,0.01,0.989815164089023
pamap2,empirical,0.01,0.98976127606833
pamap2,empirical,0.01,0.989707388047637
pamap2,empirical,0.01,0.989653500026944
pamap2,empirical,0.01,0.989599612006251
pamap2,empirical,0.01,0.989545723985558
pamap2,empirical,0.01,0.989491835964865
pamap2,empirical,0.01,0.9894379479441721
pamap2,empirical,0.01,0.989384059923479
pamap2,empirical,0.01,0.989330171902786
pamap2,empirical,0.01,0.989276283882093
pamap2,empirical,0.01,0.9892223958614
pamap2,empirical,0.01,0.989168507840707
pamap2,empirical,0.01,0.989114619820014
pamap2,empirical,0.01,0.989060731799321
pamap2,empirical,0.01,0.989006843778628
pamap2,empirical,0.01,0.988952955757935
pamap2,empirical,0.01,0.988899067737242
pamap2,empirical,0.01,0.9888451797165491
pamap2,empirical,0.01,0.988791291695856
pamap2,empirical,0.01,0.988737403675163
pamap2,empirical,0.01,0.98868351565447
pamap2,empirical,0.01,0.988629627633777
pamap2,empirical,0.01,0.988575739613084
pamap2,empirical,0.01,0.988521851592391
pamap2,empirical,0.01,0.988467963571698
pamap2,empirical,0.01,0.988414075551005
pamap2,empirical,0.01,0.988360187530312
pamap2,empirical,0.01,0.988306299509619
pamap2,empirical,0.01,0.9882524114889261
pamap2,empirical,0.01,0.988198523468233
pamap2,empirical,0.01,0.98814463544754
pamap2,empirical,0.01,0.988090747426847
pamap2,empirical,0.01,0.988036859406154
pamap2,empirical,0.01,0.987982971385461
pamap2,empirical,0.01,0.987929083364768
pamap2,empirical,0.01,0.987875195344075
pamap2,empirical,0.01,0.987821307323382
pamap2,empirical,0.01,0.987767419302689
pamap2,empirical,0.01,0.987713531281996
pamap2,empirical,0.01,0.9876596432613031
pamap2,empirical,0.01,0.98760575524061
pamap2,empirical,0.01,0.9875518672199171
pamap2,empirical,0.01,0.987497979199224
pamap2,empirical,0.01,0.987444091178531
pamap2,empirical,0.01,0.987390203157838
pamap2,empirical,0.01,0.987336315137145
pamap2,empirical,0.01,0.987282427116452
pamap2,empirical,0.01,0.987228539095759
pamap2,empirical,0.01,0.987174651075066
pamap2,empirical,0.01,0.987120763054373
pamap2,empirical,0.01,0.98706687503368
pamap2,empirical,0.01,0.987012987012987
pamap2,empirical,0.01,0.9869590989922941
pamap2,empirical,0.01,0.986905210971601
pamap2,empirical,0.01,0.986851322950908
pamap2,empirical,0.01,0.986797434930215
pamap2,empirical,0.01,0.986743546909522
pamap2,empirical,0.01,0.986689658888829
pamap2,empirical,0.01,0.986635770868136
pamap2,empirical,0.01,0.986581882847443
pamap2,empirical,0.01,0.98652799482675
pamap2,empirical,0.01,0.986474106806057
pamap2,empirical,0.01,0.986420218785364
pamap2,empirical,0.01,0.9863663307646711
pamap2,empirical,0.01,0.986312442743978
pamap2,empirical,0.01,0.986258554723285
pamap2,empirical,0.01,0.986204666702592
pamap2,empirical,0.01,0.986150778681899
pamap2,empirical,0.01,0.986096890661206
pamap2,empirical,0.01,0.986043002640513
pamap2,empirical,0.01,0.98598911461982
pamap2,empirical,0.01,0.985935226599127
pamap2,empirical,0.01,0.985881338578434
pamap2,empirical,0.01,0.985827450557741
pamap2,empirical,0.01,0.9857735625370481
pamap2,empirical,0.01,0.985719674516355
pamap2,empirical,0.01,0.985665786495662
pamap2,empirical,0.01,0.985611898474969
pamap2,empirical,0.01,0.985558010454276
pamap2,empirical,0.01,0.985504122433583
pamap2,empirical,0.01,0.98545023441289
pamap2,empirical,0.01,0.985396346392197
pamap2,empirical,0.01,0.985342458371504
pamap2,empirical,0.01,0.985288570350811
pamap2,empirical,0.01,0.985234682330118
pamap2,empirical,0.01,0.9851807943094251
pamap2,empirical,0.01,0.985126906288732
pamap2,empirical,0.01,0.9850730182680391
pamap2,empirical,0.01,0.985019130247346
pamap2,empirical,0.01,0.984965242226653
pamap2,empirical,0.01,0.98491135420596
pamap2,empirical,0.01,0.984857466185267
pamap2,empirical,0.01,0.984803578164574
pamap2,empirical,0.01,0.984749690143881
pamap2,empirical,0.01,0.984695802123188
pamap2,empirical,0.01,0.984641914102495
pamap2,empirical,0.01,0.9845880260818021
pamap2,empirical,0.01,0.984534138061109
pamap2,empirical,0.01,0.9844802500404161
pamap2,empirical,0.01,0.984426362019723
pamap2,empirical,0.01,0.98437247399903
pamap2,empirical,0.01,0.984318585978337
pamap2,empirical,0.01,0.984264697957644
pamap2,empirical,0.01,0.984210809936951
pamap2,empirical,0.01,0.984156921916258
pamap2,empirical,0.01,0.984103033895565
pamap2,empirical,0.01,0.984049145874872
pamap2,empirical,0.01,0.9839952578541791
pamap2,empirical,0.01,0.983941369833486
pamap2,empirical,0.01,0.9838874818127931
pamap2,empirical,0.01,0.9838335937921
pamap2,empirical,0.01,0.983779705771407
pamap2,empirical,0.01,0.983725817750714
pamap2,empirical,0.01,0.983671929730021
pamap2,empirical,0.01,0.983618041709328
pamap2,empirical,0.01,0.983564153688635
pamap2,empirical,0.01,0.983510265667942
pamap2,empirical,0.01,0.983456377647249
pamap2,empirical,0.01,0.983402489626556
pamap2,empirical,0.01,0.983348601605863
pamap2,empirical,0.01,0.9832947135851701
pamap2,empirical,0.01,0.983240825564477
pamap2,empirical,0.01,0.9831869375437841
pamap2,empirical,0.01,0.983133049523091
pamap2,empirical,0.01,0.983079161502398
pamap2,empirical,0.01,0.983025273481705
pamap2,empirical,0.01,0.982971385461012
pamap2,empirical,0.01,0.982917497440319
pamap2,empirical,0.01,0.982863609419626
pamap2,empirical,0.01,0.982809721398933
pamap2,empirical,0.01,0.98275583337824
pamap2,empirical,0.01,0.9827019453575471
pamap2,empirical,0.01,0.982648057336854
pamap2,empirical,0.01,0.9825941693161611
pamap2,empirical,0.01,0.982540281295468
pamap2,empirical,0.01,0.982486393274775
pamap2,empirical,0.01,0.982432505254082
pamap2,empirical,0.01,0.982378617233389
pamap2,empirical,0.01,0.982324729212696
pamap2,empirical,0.01,0.982270841192003
pamap2,empirical,0.01,0.98221695317131
pamap2,empirical,0.01,0.982163065150617
pamap2,empirical,0.01,0.9821091771299241
pamap2,empirical,0.01,0.982055289109231
pamap2,empirical,0.01,0.9820014010885381
pamap2,empirical,0.01,0.981947513067845
pamap2,empirical,0.01,0.981893625047152
pamap2,empirical,0.01,0.981839737026459
pamap2,empirical,0.01,0.981785849005766
pamap2,empirical,0.01,0.981731960985073
pamap2,empirical,0.01,0.98167807296438
pamap2,empirical,0.01,0.981624184943687
pamap2,empirical,0.01,0.981570296922994
pamap2,empirical,0.01,0.981516408902301
pamap2,empirical,0.01,0.981462520881608
pamap2,empirical,0.01,0.9814086328609151
pamap2,empirical,0.01,0.981354744840222
pamap2,empirical,0.01,0.981300856819529
pamap2,empirical,0.01,0.981246968798836
pamap2,empirical,0.01,0.981193080778143
pamap2,empirical,0.01,0.98113919275745
pamap2,empirical,0.01,0.981085304736757
pamap2,empirical,0.01,0.981031416716064
pamap2,empirical,0.01,0.980977528695371
pamap2,empirical,0.01,0.980923640674678
pamap2,empirical,0.01,0.980869752653985
pamap2,empirical,0.01,0.9808158646332921
pamap2,empirical,0.01,0.980761976612599
pamap2,empirical,0.01,0.9807080885919061
pamap2,empirical,0.01,0.980654200571213
pamap2,empirical,0.01,0.98060031255052
pamap2,empirical,0.01,0.980546424529827
pamap2,empirical,0.01,0.980492536509134
pamap2,empirical,0.01,0.980438648488441
pamap2,empirical,0.01,0.980384760467748
pamap2,empirical,0.01,0.980330872447055
pamap2,empirical,0.01,0.980276984426362
pamap2,empirical,0.01,0.9802230964056691
pamap2,empirical,0.01,0.980169208384976
pamap2,empirical,0.01,0.9801153203642831
pamap2,empirical,0.01,0.98006143234359
pamap2,empirical,0.01,0.980007544322897
pamap2,empirical,0.01,0.979953656302204
pamap2,empirical,0.01,0.979899768281511
pamap2,empirical,0.01,0.979845880260818
pamap2,empirical,0.01,0.979791992240125
pamap2,empirical,0.01,0.979738104219432
pamap2,empirical,0.01,0.979684216198739
pamap2,empirical,0.01,0.9796303281780461
pamap2,empirical,0.01,0.979576440157353
pamap2,empirical,0.01,0.9795225521366601
pamap2,empirical,0.01,0.979468664115967
pamap2,empirical,0.01,0.979414776095274
pamap2,empirical,0.01,0.979360888074581
pamap2,empirical,0.01,0.979307000053888
pamap2,empirical,0.01,0.979253112033195
pamap2,empirical,0.01,0.979199224012502
pamap2,empirical,0.01,0.979145335991809
pamap2,empirical,0.01,0.979091447971116
pamap2,empirical,0.01,0.9790375599504231
pamap2,empirical,0.01,0.97898367192973
pamap2,empirical,0.01,0.9789297839090371
pamap2,empirical,0.01,0.978875895888344
pamap2,empirical,0.01,0.9788220078676511
pamap2,empirical,0.01,0.978768119846958
pamap2,empirical,0.01,0.978714231826265
pamap2,empirical,0.01,0.978660343805572
pamap2,empirical,0.01,0.978606455784879
pamap2,empirical,0.01,0.978552567764186
pamap2,empirical,0.01,0.978498679743493
pamap2,empirical,0.01,0.9784447917228001
pamap2,empirical,0.01,0.978390903702107
pamap2,empirical,0.01,0.9783370156814141
pamap2,empirical,0.01,0.978283127660721
pamap2,empirical,0.01,0.9782292396400281
pamap2,empirical,0.01,0.978175351619335
pamap2,empirical,0.01,0.978121463598642
pamap2,empirical,0.01,0.978067575577949
pamap2,empirical,0.01,0.978013687557256
pamap2,empirical,0.01,0.977959799536563
pamap2,empirical,0.01,0.97790591151587
pamap2,empirical,0.01,0.977852023495177
pamap2,empirical,0.01,0.977798135474484
pamap2,empirical,0.01,0.9777442474537911
pamap2,empirical,0.01,0.977690359433098
pamap2,empirical,0.01,0.9776364714124051
pamap2,empirical,0.01,0.977582583391712
pamap2,empirical,0.01,0.977528695371019
pamap2,empirical,0.01,0.977474807350326
pamap2,empirical,0.01,0.977420919329633
pamap2,empirical,0.01,0.97736703130894
pamap2,empirical,0.01,0.977313143288247
pamap2,empirical,0.01,0.977259255267554
pamap2,empirical,0.01,0.977205367246861
pamap2,empirical,0.01,0.9771514792261681
pamap2,empirical,0.01,0.977097591205475
pamap2,empirical,0.01,0.9770437031847821
pamap2,empirical,0.01,0.976989815164089
pamap2,empirical,0.01,0.976935927143396
pamap2,empirical,0.01,0.976882039122703
pamap2,empirical,0.01,0.97682815110201
pamap2,empirical,0.01,0.976774263081317
pamap2,empirical,0.01,0.976720375060624
pamap2,empirical,0.01,0.976666487039931
pamap2,empirical,0.01,0.976612599019238
pamap2,empirical,0.01,0.9765587109985451
pamap2,empirical,0.01,0.976504822977852
pamap2,empirical,0.01,0.9764509349571591
pamap2,empirical,0.01,0.976397046936466
pamap2,empirical,0.01,0.9763431589157731
pamap2,empirical,0.01,0.97628927089508
pamap2,empirical,0.01,0.976235382874387
pamap2,empirical,0.01,0.976181494853694
pamap2,empirical,0.01,0.976127606833001
pamap2,empirical,0.01,0.976073718812308
pamap2,empirical,0.01,0.976019830791615
pamap2,empirical,0.01,0.975965942770922
pamap2,empirical,0.01,0.975912054750229
pamap2,empirical,0.01,0.9758581667295361
pamap2,empirical,0.01,0.975804278708843
pamap2,empirical,0.01,0.9757503906881501
pamap2,empirical,0.01,0.975696502667457
pamap2,empirical,0.01,0.975642614646764
pamap2,empirical,0.01,0.975588726626071
pamap2,empirical,0.01,0.975534838605378
pamap2,empirical,0.01,0.975480950584685
pamap2,empirical,0.01,0.975427062563992
pamap2,empirical,0.01,0.975373174543299
pamap2,empirical,0.01,0.975319286522606
pamap2,empirical,0.01,0.9752653985019131
pamap2,empirical,0.01,0.97521151048122
pamap2,empirical,0.01,0.9751576224605271
pamap2,empirical,0.01,0.975103734439834
pamap2,empirical,0.01,0.975049846419141
pamap2,empirical,0.01,0.974995958398448
pamap2,empirical,0.01,0.974942070377755
pamap2,empirical,0.01,0.974888182357062
pamap2,empirical,0.01,0.974834294336369
pamap2,empirical,0.01,0.974780406315676
pamap2,empirical,0.01,0.974726518294983
pamap2,empirical,0.01,0.9746726302742901
pamap2,empirical,0.01,0.974618742253597
pamap2,empirical,0.01,0.9745648542329041
pamap2,empirical,0.01,0.974510966212211
pamap2,empirical,0.01,0.9744570781915181
pamap2,empirical,0.01,0.974403190170825
pamap2,empirical,0.01,0.974349302150132
pamap2,empirical,0.01,0.974295414129439
pamap2,empirical,0.01,0.974241526108746
pamap2,empirical,0.01,0.974187638088053
pamap2,empirical,0.01,0.97413375006736
pamap2,empirical,0.01,0.9740798620466671
pamap2,empirical,0.01,0.974025974025974
pamap2,empirical,0.01,0.9739720860052811
pamap2,empirical,0.01,0.973918197984588
pamap2,empirical,0.01,0.9738643099638951
pamap2,empirical,0.01,0.973810421943202
pamap2,empirical,0.01,0.973756533922509
pamap2,empirical,0.01,0.973702645901816
pamap2,empirical,0.01,0.973648757881123
pamap2,empirical,0.01,0.97359486986043
pamap2,empirical,0.01,0.973540981839737
pamap2,empirical,0.01,0.9734870938190441
pamap2,empirical,0.01,0.973433205798351
pamap2,empirical,0.01,0.9733793177776581
pamap2,empirical,0.01,0.973325429756965
pamap2,empirical,0.01,0.9732715417362721
pamap2,empirical,0.01,0.973217653715579
pamap2,empirical,0.01,0.973163765694886
pamap2,empirical,0.01,0.973109877674193
pamap2,empirical,0.01,0.9730559896535
pamap2,empirical,0.01,0.973002101632807
pamap2,empirical,0.01,0.972948213612114
pamap2,empirical,0.01,0.9728943255914211
pamap2,empirical,0.01,0.972840437570728
pamap2,empirical,0.01,0.9727865495500351
pamap2,empirical,0.01,0.972732661529342
pamap2,empirical,0.01,0.9726787735086491
pamap2,empirical,0.01,0.972624885487956
pamap2,empirical,0.01,0.972570997467263
pamap2,empirical,0.01,0.97251710944657
pamap2,empirical,0.01,0.972463221425877
pamap2,empirical,0.01,0.972409333405184
pamap2,empirical,0.01,0.972355445384491
pamap2,empirical,0.01,0.972301557363798
pamap2,empirical,0.01,0.972247669343105
pamap2,empirical,0.01,0.9721937813224121
pamap2,empirical,0.01,0.972139893301719
pamap2,empirical,0.01,0.9720860052810261
pamap2,empirical,0.01,0.972032117260333
pamap2,empirical,0.01,0.9719782292396401
pamap2,empirical,0.01,0.971924341218947
pamap2,empirical,0.01,0.971870453198254
pamap2,empirical,0.01,0.971816565177561
pamap2,empirical,0.01,0.971762677156868
pamap2,empirical,0.01,0.971708789136175
pamap2,empirical,0.01,0.971654901115482
pamap2,empirical,0.01,0.9716010130947891
pamap2,empirical,0.01,0.971547125074096
pamap2,empirical,0.01,0.9714932370534031
pamap2,empirical,0.01,0.97143934903271
pamap2,empirical,0.01,0.9713854610120171
pamap2,empirical,0.01,0.971331572991324
pamap2,empirical,0.01,0.971277684970631
pamap2,empirical,0.01,0.971223796949938
pamap2,empirical,0.01,0.971169908929245
pamap2,empirical,0.01,0.971116020908552
pamap2,empirical,0.01,0.971062132887859
pamap2,empirical,0.01,0.9710082448671661
pamap2,empirical,0.01,0.970954356846473
pamap2,empirical,0.01,0.9709004688257801
pamap2,empirical,0.01,0.970846580805087
pamap2,empirical,0.01,0.9707926927843941
pamap2,empirical,0.01,0.970738804763701
pamap2,empirical,0.01,0.970684916743008
pamap2,empirical,0.01,0.970631028722315
pamap2,empirical,0.01,0.970577140701622
pamap2,empirical,0.01,0.970523252680929
pamap2,empirical,0.01,0.970469364660236
pamap2,empirical,0.01,0.970415476639543
pamap2,empirical,0.01,0.97036158861885
pamap2,empirical,0.01,0.9703077005981571
pamap2,empirical,0.01,0.970253812577464
pamap2,empirical,0.01,0.9701999245567711
pamap2,empirical,0.01,0.970146036536078
pamap2,empirical,0.01,0.970092148515385
pamap2,empirical,0.01,0.970038260494692
pamap2,empirical,0.01,0.969984372473999
pamap2,empirical,0.01,0.969930484453306
pamap2,empirical,0.01,0.969876596432613
pamap2,empirical,0.01,0.96982270841192
pamap2,empirical,0.01,0.969768820391227
pamap2,empirical,0.01,0.9697149323705341
pamap2,empirical,0.01,0.969661044349841
pamap2,empirical,0.01,0.9696071563291481
pamap2,empirical,0.01,0.969553268308455
pamap2,empirical,0.01,0.9694993802877621
pamap2,empirical,0.01,0.969445492267069
pamap2,empirical,0.01,0.969391604246376
pamap2,empirical,0.01,0.969337716225683
pamap2,empirical,0.01,0.96928382820499
pamap2,empirical,0.01,0.969229940184297
pamap2,empirical,0.01,0.969176052163604
pamap2,empirical,0.01,0.9691221641429111
pamap2,empirical,0.01,0.969068276122218
pamap2,empirical,0.01,0.9690143881015251
pamap2,empirical,0.01,0.968960500080832
pamap2,empirical,0.01,0.9689066120601391
pamap2,empirical,0.01,0.968852724039446
pamap2,empirical,0.01,0.968798836018753
pamap2,empirical,0.01,0.96874494799806
pamap2,empirical,0.01,0.968691059977367
pamap2,empirical,0.01,0.968637171956674
pamap2,empirical,0.01,0.968583283935981
pamap2,empirical,0.01,0.9685293959152881
pamap2,empirical,0.01,0.968475507894595
pamap2,empirical,0.01,0.9684216198739021
pamap2,empirical,0.01,0.968367731853209
pamap2,empirical,0.01,0.9683138438325161
pamap2,empirical,0.01,0.968259955811823
pamap2,empirical,0.01,0.96820606779113
pamap2,empirical,0.01,0.968152179770437
pamap2,empirical,0.01,0.968098291749744
pamap2,empirical,0.01,0.968044403729051
pamap2,empirical,0.01,0.967990515708358
pamap2,empirical,0.01,0.9679366276876651
pamap2,empirical,0.01,0.967882739666972
pamap2,empirical,0.01,0.9678288516462791
pamap2,empirical,0.01,0.967774963625586
pamap2,empirical,0.01,0.9677210756048931
pamap2,empirical,0.01,0.9676671875842
pamap2,empirical,0.01,0.9676132995635071
pamap2,empirical,0.01,0.967559411542814
pamap2,empirical,0.01,0.967505523522121
pamap2,empirical,0.01,0.967451635501428
pamap2,empirical,0.01,0.967397747480735
pamap2,empirical,0.01,0.9673438594600421
pamap2,empirical,0.01,0.967289971439349
pamap2,empirical,0.01,0.9672360834186561
pamap2,empirical,0.01,0.967182195397963
pamap2,empirical,0.01,0.9671283073772701
pamap2,empirical,0.01,0.967074419356577
pamap2,empirical,0.01,0.9670205313358841
pamap2,empirical,0.01,0.966966643315191
pamap2,empirical,0.01,0.966912755294498
pamap2,empirical,0.01,0.966858867273805
pamap2,empirical,0.01,0.966804979253112
pamap2,empirical,0.01,0.9667510912324191
pamap2,empirical,0.01,0.966697203211726
pamap2,empirical,0.01,0.9666433151910331
pamap2,empirical,0.01,0.96658942717034
pamap2,empirical,0.01,0.9665355391496471
pamap2,empirical,0.01,0.966481651128954
pamap2,empirical,0.01,0.9664277631082611
pamap2,empirical,0.01,0.966373875087568
pamap2,empirical,0.01,0.966319987066875
pamap2,empirical,0.01,0.966266099046182
pamap2,empirical,0.01,0.966212211025489
pamap2,empirical,0.01,0.966158323004796
pamap2,empirical,0.01,0.966104434984103
pamap2,empirical,0.01,0.9660505469634101
pamap2,empirical,0.01,0.965996658942717
pamap2,empirical,0.01,0.9659427709220241
pamap2,empirical,0.01,0.965888882901331
pamap2,empirical,0.01,0.9658349948806381
pamap2,empirical,0.01,0.965781106859945
pamap2,empirical,0.01,0.965727218839252
pamap2,empirical,0.01,0.965673330818559
pamap2,empirical,0.01,0.965619442797866
pamap2,empirical,0.01,0.965565554777173
pamap2,empirical,0.01,0.96551166675648
pamap2,empirical,0.01,0.965457778735787
pamap2,empirical,0.01,0.965403890715094
pamap2,empirical,0.01,0.9653500026944011
pamap2,empirical,0.01,0.965296114673708
pamap2,empirical,0.01,0.9652422266530151
pamap2,empirical,0.01,0.965188338632322
pamap2,empirical,0.01,0.9651344506116291
pamap2,empirical,0.01,0.965080562590936
pamap2,empirical,0.01,0.965026674570243
pamap2,empirical,0.01,0.96497278654955
pamap2,empirical,0.01,0.964918898528857
pamap2,empirical,0.01,0.964865010508164
pamap2,empirical,0.01,0.964811122487471
pamap2,empirical,0.01,0.9647572344667781
pamap2,empirical,0.01,0.964703346446085
pamap2,empirical,0.01,0.9646494584253921
pamap2,empirical,0.01,0.964595570404699
pamap2,empirical,0.01,0.9645416823840061
pamap2,empirical,0.01,0.964487794363313
pamap2,empirical,0.01,0.96443390634262
